MOUSE ID,B1,B2,B3,L1,L2,L3,D1,D2,D3
423,0,0,0,180,180,180,0,0,0
424,0,0,0,180,180,180,0,0,0
425,0,0,0,180,180,180,0,0,0
426,0,0,0,180,180,180,0,0,0
427,0,0,0,180,180,180,0,0,0
428,0,0,0,180,180,180,0,0,0
429,0,0,0,180,180,180,0,0,0
430,0,0,0,180,180,180,0,0,0
431,0,0,0,180,180,180,0,0,0
432,0,0,0,180,180,180,0,0,0
433,0,0,0,180,180,180,0,0,0
434,0,0,0,180,180,180,0,0,0
435,0,0,0,180,180,180,0,0,0
436,0,0,0,180,180,180,0,0,0
437,0,0,0,180,180,180,0,0,0
438,0,0,0,180,180,180,0,0,0
439,0,0,0,180,180,180,0,0,0
440,0,0,0,180,180,180,0,0,0
441,0,0,0,180,180,180,0,0,0
442,0,0,0,180,180,180,0,0,0
443,0,0,0,180,180,180,0,0,0
444,0,0,0,180,180,180,0,0,0
445,0,0,0,180,180,180,0,0,0
446,0,0,0,180,180,180,0,0,0
447,0,0,0,180,180,180,0,0,0
448,0,0,0,180,180,180,0,0,0
449,11,6,12,1,1,1,5.454545455,5,5.416666667
450,4,6,10,1,1,1,4.25,5,5
451,9,10,8,7,1,1,5.222222222,5,5
452,3,7,5,82,1,1,5,4.571428571,5
453,3,5,2,90,9,40,5,5.6,3.5
454,3,2,7,11,109,1,6,5,4.714285714
455,0,0,0,180,180,180,0,0,0
456,3,3,3,56,3,51,2.666666667,3.333333333,3.333333333
457,2,6,5,104,1,13,5,4.333333333,4.4
458,3,3,9,108,3,6,5,5,3.888888889
459,1,5,4,29,1,5,2,5,4.75
460,2,5,7,93,1,1,7,11,4.857142857
461,1,6,0,143,15,180,5,4.5,0
462,2,10,2,55,1,10,8.5,5.9,6
463,0,3,4,180,14,80,0,6,5
464,5,5,6,34,1,1,4,4.4,5
465,4,5,8,68,1,1,4.5,4.2,5
466,0,1,0,180,36,180,0,5,0
467,1,5,4,1,1,1,5,5,5.25
468,0,7,1,180,1,1,0,4.571428571,5
469,1,1,3,179,1,25,5,5,4
470,1,2,2,130,167,95,20,5,7.5
471,0,2,2,180,110,91,0,5,4
472,3,5,8,22,1,1,4.666666667,4.4,4.375
473,0,4,4,180,140,140,0,4.75,4.5
474,0,7,8,180,1,1,0,4,5
475,1,2,5,166,1,1,10,5,5
476,5,9,13,46,1,1,6.8,4.555555556,4.923076923
477,4,9,3,42,1,1,5.5,4.888888889,5
478,4,10,11,17,1,1,4.25,4.5,4.727272727
479,0,3,7,180,64,40,0,5.666666667,4.857142857
480,0,5,1,180,1,179,0,2.8,5
